english,turkish
equal,eşit
English,ingilizce
welfare,refah
typical,tipik
crazy,deli
except,hariç
funny,eğlenceli
meat,et
appeal,çekici
long-term,uzun vadeli
official,resmi
eliminate,bertaraf etmek
used,Kullanılmış
motion,hareket
complain,şikayet
row,sıra
Jewish,Yahudi
kick,tekme atmak
snow,kar
producer,üretici
solve,çözmek
just,sadece
issue,sorun
opposition,muhalefet
basketball,Basketbol
rely,güvenmek
conservative,tutucu
trust,güven
back,geri
address,adres
mirror,ayna
tank,tank
range,Aralık
significantly,önemli ölçüde
somewhat,biraz
attract,cezbetmek
anywhere,herhangi bir yer
regime,rejim
fix,düzeltmek
entirely,Baştan sona
afford,parası yetmek
length,uzunluk
secret,gizli
pleasure,Zevk
file,dosya
tooth,diş
confirm,onaylamak
separate,ayırmak
golden,altın
photograph,fotoğraf
meanwhile,bu sırada
except,hariç
now,şimdi
channel,kanal
bedroom,yatak odası
requirement,gereklilik
ancient,Antik
coverage,kapsama alanı
trail,iz
bear,ayı
host,ev sahibi
his,onun
check,Kontrol
stand,durmak
surgery,ameliyat
perception,algı
rare,nadir
struggle,mücadele etmek
era,dönem
grant,hibe
file,dosya
ocean,okyanus
seriously,Cidden
clear,açık
confidence,kendinden emin
aside,bir kenara
tear,göz yaşı
judgment,yargılama
industrial,Sanayi
expectation,beklenti
resolution,çözüm
copy,kopya
wing,kanat
doubt,şüphe
fun,eğlence
totally,tamamen
pour,dökün
gender,Cinsiyet
surprised,şaşırmış
beer,bira
clean,temiz
score,Puan
bond,bağlamak
plus,artı
debt,borç
smart,akıllı
English,ingilizce
terrible,korkunç
witness,tanık
reference,referans
account,hesap
separate,ayırmak
mean,kastetmek
vice,mengene
black,siyah
rest,dinlenme
hero,kahraman
bomb,bomba
below,aşağıda
rating,değerlendirme
busy,meşgul
cite,anmak
corporation,şirket
representative,temsilci
everywhere,her yerde
soil,toprak
highway,karayolu
frame,çerçeve
stretch,uzatmak
oppose,karşı çıkmak
Catholic,Katolik
cloud,bulut
initial,ilk
variable,değişken
essential,gerekli
travel,yolculuk
improvement,Gelişme
opening,açılış
necessarily,zorunlu olarak
nurse,hemşire
incident,olay
abortion,kürtaj
divide,bölmek
aim,amaç
tired,yorgun
careful,dikkatli olmak
question,soru
cheap,ucuz
beside,yanında
apart,ayrı
criminal,adli
employ,kullanmak
rush,acele etmek
user,kullanıcı
upper,üst
winner,kazanan
fashion,moda
tip,İpucu
apple,elma
rise,yükselmek
vast,büyüklük
specifically,özellikle
limited,sınırlı
enormous,kocaman
holiday,tatil
e-mail,e-posta
emphasize,vurgu yapmak
merely,sadece
dance,dans
core,çekirdek
match,kibrit
landscape,manzara
overall,etraflı
golf,golf
lack,eksiklik
virtually,sanal olarak
route,güzergah
flow,akış
fewer,daha az
cable,kablo
gate,geçit
tie,bağlamak
proud,gurur duymak
promise,söz vermek
dish,yemek
beneath,altında
increased,artırılmış
succeed,başarmak
barely,zar zor
narrow,dar
solid,sağlam
contemporary,modern
accuse,suçlamak
unfortunately,maalesef
useful,kullanışlı
noise,"gürültü, ses"
expose,ortaya çıkarmak
mass,kitle
multiple,çoklu
vegetable,sebze
seed,tohum
reject,reddetmek
decline,reddetmek
experiment,Deney
legislation,mevzuat
hat,şapka
either,herhangi biri
secret,gizli
massive,cüsseli
grass,çimen
definitely,kesinlikle
closer,daha yakın
liberal,liberal
stir,karıştırmak
captain,Kaptan
revolution,devrim
typically,tipik
sector,sektör
hand,el
approve,onaylamak
uncle,amca dayı
volume,Ses
explanation,açıklama
sentence,cümle
escape,kaçmak
unusual,olağan dışı
distribution,dağıtım
rural,kırsal
cast,oyuncu kadrosu
drink,İçmek
sleep,uyumak
household,ev
celebrate,kutlamak
taste,tatmak
characteristic,karakteristik
outside,dışarıda
addition,ilave
acquire,elde etmek
closely,yakından
proper,düzgün
tone,tonlamak
topic,başlık
towards,karşı
waste,boşa harcamak
wheel,teker
athlete,atlet
convince,ikna etmek
alternative,alternatif
pepper,biber
cream,krem
land,kara
technical,teknik
square,Meydan
plenty,bolca
behind,arka
invest,yatırım
mind,zihin
potential,potansiyel
regard,saygınlık
intervention,araya girmek
illegal,yasadışı
lower,daha düşük
compete,rekabet etmek
talent,yetenek
guilty,suçlu
living,yaşamak
milk,Süt
height,yükseklik
list,liste
live,canlı
assistance,yardım
personality,kişilik
Israeli,İsrail
gay,eşcinsel
forever,sonsuza dek
assess,değerlendirmek
weak,güçsüz
female,dişi
cigarette,sigara
permit,izin vermek
passenger,yolcu
criticism,eleştiri
twenty,yirmi
honor,Onur
creative,yaratıcı
offer,teklif
knock,vuruş
display,Görüntüle
campus,yerleşke
definition,tanım
gray,gri
signal,sinyal
warning,uyarı
physician,doktor
column,kolon
interaction,etkileşim
dramatic,dramatik
review,gözden geçirmek
republic,cumhuriyet
primarily,öncelikle
priority,öncelik
achievement,başarı
fun,eğlence
request,rica etmek
wrap,paketlemek
engineer,mühendis
rice,pilav
scholar,akademisyen
airline,havayolu
expense,masraf
observation,gözlem
gap,açıklık
agenda,Gündem
creation,yaratılış
drag,sürüklemek
suspect,şüpheli
fishing,Balık tutma
bread,ekmek
hi,merhaba
unable,aciz
scream,çığlık
journalist,gazeteci
constitution,anayasa
lucky,şanslı
excellent,harika
mass,kitle
payment,Ödeme
deep,derin
selection,seçme
lab,laboratuvar
arrest,tutuklanmak
deeply,derinlemesine
sad,üzgün
childhood,çocukluk
suppose,sanmak
fairly,adil bir şekilde
prosecutor,Savcı
violent,şiddetli
recover,iyileşmek
roof,çatı
amendment,değişiklik
emotion,duygu
existing,var olan
far,uzak
graduate,mezun olmak
factory,fabrika
schedule,takvim
avenue,Bulvar
spiritual,manevi
ride,sürmek
wash,yıkamak
planning,planlama
self,kendi kendine
later,sonra
shout,bağırmak
silent,sessiz
brief,kısa bilgi
error,hata
widely,geniş
description,tanım
dark,karanlık
immediate,hemen
purchase,satın alma
leading,önde gelen
funding,finansman
settlement,yerleşme
prayer,namaz
initiative,girişim
coalition,koalisyon
comparison,karşılaştırmak
portion,porsiyon
opponent,rakip
tension,tansiyon
chapter,bölüm
bother,zahmet
curriculum,Müfredat
consist,meydana gelmek
immigrant,göçmen
enable,etkinleştirme
faculty,Fakülte
steel,çelik
desert,çöl
asset,varlık
slow,yavaş
housing,Konut
transform,dönüşüm
regarding,ilişkin
perceive,algılamak
depression,depresyon
inform,bilgi vermek
formal,resmi
abandon,terk etmek
release,serbest bırakmak
chip,yonga
double,çift
remaining,geriye kalan
existence,varoluş
cheese,peynir
link,bağlantı
joint,bağlantı
savings,tasarruf
rule,kural
preserve,korumak
diet,diyet
territory,bölge
tea,Çay
bend,Bükmek
gain,kazanmak
arrange,düzenlemek
resolve,çözmek
walk,yürümek
passage,geçit
lock,kilit
tear,göz yaşı
resistance,direnç
present,Sunmak
stream,aktarım
slide,kayma
green,Yeşil
sharp,keskin
display,Görüntüle
cycle,Çevrim
pose,poz
phase,evre
transition,geçiş
reduction,kesinti
negotiation,müzakere
manufacturer,üretici firma
interview,röportaj yapmak
quote,alıntı
deserve,hak etmek
trust,güven
sale,satış
layer,katman
wedding,düğün
discovery,keşif
mine,benim
academy,akademi
sand,kum
hit,vurmak
missile,füze
elect,seçmek
climate,iklim
participation,katılım
knife,bıçak
benefit,fayda
atmosphere,atmosfer
joke,şaka
urge,dürtü
ordinary,sıradan
visual,görsel
numerous,sayısız
occasion,durum
philosophy,Felsefe
suicide,intihar
shall,acak
glad,memnun
goods,mal
moreover,dahası
coat,ceket
consistent,tutarlı
alcohol,alkol
opposite,karşısında
cop,polis
universe,Evren
breathe,nefes almak
practical,pratik
therapy,terapi
shift,vardiya
racial,ırksal
elsewhere,başka bir yerde
rarely,seyrek
essentially,esasen
discipline,disiplin
reply,cevap vermek
Mexican,Meksikalı
passion,tutku
tale,masal
dust,toz
kiss,öpücük
iron,ütü
independence,bağımsızlık
contact,İletişim
Spanish,İspanyol
advance,ilerlemek
pot,tencere
potato,Patates
motor,motor
pack,ambalaj
dominate,hakim olmak
marketing,pazarlama
disaster,felaket
exposure,maruziyet
complaint,şikayet
cap,kapak
congressional,kongre
jacket,ceket
intense,yoğun
touch,dokunmak
for,için
impose,empoze etmek
electric,elektrik
implement,uygulamak
enforcement,uygulama
analyze,analiz etmek
sure,Elbette
retire,emekli olmak
deficit,açıklık
emphasis,vurgu
concentrate,yoğunlaşmak
accomplish,sonuçlandırmak
previously,Önceden
symbol,sembol
bureau,büro
laboratory,laboratuvar
attach,eklemek
fundamental,temel
whenever,ne zaman olursa
arrangement,ayarlama
investigator,müfettiş
mark,işaret
another,bir diğer
shock,şok
adjust,ayarlamak
employer,iş veren
visible,gözle görülür
pass,geçmek
priest,rahip
volunteer,gönüllü
interpretation,tercüme
entertainment,eğlence
habit,alışkanlık
illustrate,gözünde canlandırmak
equally,eşit derecede
prospect,olasılık
enhance,genişletmek
severe,şiddetli
other,başka
monitor,izlemek
amazing,Harika
poverty,yoksulluk
increasing,artan
boss,Müdür
inspire,ilham vermek
anger,kızgınlık
heavily,ağır şekilde
parking,otopark
print,Yazdır
maker,yapımcı
involvement,tutulum
queen,kraliçe
gene,gen
vary,çeşitli
approximately,yaklaşık olarak
gallery,galeri
evaluate,değerlendirmek
fat,yağ
trade,Ticaret
transfer,Aktar
exercise,egzersiz yapmak
usual,her zamanki
mystery,gizem
entry,giriş
ring,yüzük
mood,mod
bean,fasulye
still,hâlâ
objective,amaç
capable,yetenekli
constant,devamlı
light,ışık
substance,madde
total,Toplam
strongly,kuvvetle
exception,istisna
commander,komutan
spending,harcama
crucial,hayati
acre,dönüm
wire,tel
command,emretmek
nervous,sinirli
cross,geçmek
so-called,Lafta
competitive,rekabetçi
Asian,Asya
tower,kule
veteran,kıdemli
creature,yaratık
smoke,Sigara içmek
Arab,Arap
prince,prens
alliance,ittifak
transportation,toplu taşıma
stop,Dur
luck,şans
symptom,semptom
bury,gömmek
clinic,klinik
illness,hastalık
championship,şampiyonluk
prisoner,mahkum
reputation,itibar
edition,baskı
juice,Meyve suyu
sauce,Sos
peak,zirve
confront,karşısına çıkmak
breakfast,sabah kahvaltısı
recognition,tanıma
smell,koku
ally,müttefik
pure,saf
toy,oyuncak
salary,aylık maaş
electronic,elektronik
bathroom,banyo
surely,elbette
psychological,psikolojik
evaluation,değerlendirme
dimension,boyut
block,engellemek
race,yarış
personnel,personel
belt,kemer
accompany,eşlik etmek
implication,olası sonuç
album,albüm
perfectly,mükemmel bir şekilde
strike,vuruş
jet,jet
hello,merhaba
shape,şekil
relative,akraba
tourist,turist
phenomenon,fenomen
fellow,dost
toss,atmak
publication,yayın
nearby,yakında
consideration,düşünce
rather,yerine
holy,kutsal
enterprise,girişim
due,vadesi dolmuş
inner,iç
watch,izlemek
Indian,Hintli
pray,dua etmek
creek,dere
supply,arz
boot,bot
whisper,fısıltı
resist,direnmek
journey,seyahat
flag,bayrak
disorder,düzensizlik
designer,tasarımcı
literally,kelimenin tam anlamıyla
apparent,görünen
permanent,kalıcı
angle,açı
smooth,düz
unlike,farklı
tablespoon,yemek kasigi
smoke,Sigara içmek
consultant,danışman
twin,ikiz
favor,iyilik
throat,boğaz
construct,yapmak
birthday,doğum günü
soon,yakında
swing,sallanmak
supporter,destekçi
testing,test yapmak
reasonable,mantıklı
mail,posta
silver,gümüş
retirement,emeklilik
sensitive,duyarlı
gentleman,beyefendi
navy,Donanma
terrorism,terörizm
occasionally,ara sıra
glance,bakış atmak
observer,gözlemci
constantly,sürekli
bind,bağırmak
wet,ıslak
line,astar
dig,kazmak
quit,çıkış yapmak
digital,dijital
straight,dümdüz
vs,vs
assist,yardım
employment,iş
suggestion,öneri
rapidly,hızlıca
estimate,tahmin etmek
embrace,kucaklamak
junior,genç
stomach,karın
extreme,aşırı
pretty,tatlı
mine,benim
recovery,kurtarma
negotiate,müzakere etmek
impression,izlenim
wage,maaş
fifth,beşinci
FALSE,YANLIŞ
count,saymak
pink,pembe
absence,yokluk
aggressive,agresif
corn,Mısır
mixture,karışım
substantial,varlıklı
grandmother,Nene
quietly,sessizce
jail,hapishane
specialist,uzman
dealer,satıcı
poem,şiir
butter,Tereyağı
conventional,geleneksel
pace,adımlamak
intention,niyet
peer,akran
restore,eski haline getirmek
wooden,ahşap
criticize,eleştirmek
nevertheless,yine de
approval,onay
historic,tarihi
secure,güvenli
preparation,hazırlık
Latin,Latince
lord,Kral
teaspoon,çay kaşığı
musical,müzikal
weigh,tartmak
comment,yorum
pan,tava
assure,garanti etmek
viewer,izleyici
arise,ortaya çıkmak
administrator,yönetici
immigration,göçmenlik
plant,bitki
honest,açık sözlü
origin,Menşei
giant,dev
diversity,çeşitlilik
tomato,domates
advise,öğüt vermek
biological,biyolojik
shell,kabuk
essay,makale
roll,rulo
historian,tarihçi
deputy,milletvekili
date,tarih
effectively,etkili bir şekilde
fast,hızlı
schedule,takvim
buck,boks yapmak
tube,tüp
refugee,mülteci
depth,derinlik
flat,düz
precisely,tam
mad,deli
alternative,alternatif
disability,sakatlık
destruction,yıkım
dream,rüya
drop,düşürmek
assumption,Varsayım
normally,normalde
angel,melek
pop,pop
criteria,kriterler
minor,küçük
crop,mahsul
barrier,engel
assign,atamak
elementary,temel
valuable,değerli
testimony,tanıklık
stake,kazıklamak
concert,konser
label,etiket
routine,rutin
wealth,varlık
professional,profesyonel
gang,çete
incorporate,firma kurmak
brand,marka
recipe,Tarif
vacation,tatil
utility,Yarar
satellite,uydu
extraordinary,olağanüstü
wave,dalga
ultimate,nihai
chemical,kimyasal
advocate,savunucu
wonder,merak etmek
educator,eğitimci
cake,Kek
phrase,ifade etmek
yell,bağırmak
personally,Şahsen
respondent,davalı
Palestinian,Filistin
classic,klasik
snap,patlatmak
via,aracılığıyla
lawsuit,dava
install,Yüklemek
sweep,süpürmek
festival,Festival
draft,taslak
heaven,cennet
switch,değiştirmek
activist,aktivist
ceiling,tavan
clock,saat
graduate,mezun olmak
aunt,hala
darkness,karanlık
daddy,baba
royal,Kraliyet
advertising,reklam
rough,kaba 
pregnant,hamile
penalty,ceza
distant,mesafe
developing,gelişen
yield,teslim olmak
wind,rüzgâr
armed,silahlı
mechanism,mekanizma
rank,rütbe
killer,katil
fence,çit
ahead,ilerde
universal,evrensel
terror,terör
wolf,Kurt
house,ev
anxiety,endişe
chemical,kimyasal
found,bulundu
protein,protein
engineering,mühendislik
clothing,Giyim
proceed,ilerlemek
fiber,lif
react,tepki
bottom,alt
spin,döndürmek
roughly,kabaca
drama,drama
liberty,özgürlük
ingredient,bileşen
hip,belki
provision,karşılık
burden,sorumluluk
teen,genç
survival,hayatta kalma
unlikely,olası olmayan
Italian,İtalyan
chamber,bölme
lost,kayıp
communicate,iletişim kurmak
stupid,Aptal
bet,bahis
advance,ilerlemek
Muslim,Müslüman
bell,zil
onion,soğan
disagree,aynı fikirde olmamak
encounter,rastlamak
constitutional,anayasal
cabinet,kabine
remarkable,dikkat çekici
broken,bozuldu
latter,ikincisi
overcome,üstesinden gelmek
virus,virüs
stranger,yabancı
retain,sürdürmek
match,kibrit
prize,ödül
string,sicim
exhibition,sergi
expansion,genişleme
tremendous,muazzam
bunch,Demet
assistant,asistan
initially,ilk olarak
accurate,kesin
cheek,yanak
index,indeks
occupy,işgal etmek
gear,vites
guarantee,garanti
chocolate,çikolata
ceremony,tören
button,buton
shopping,alışveriş
pay,ödemek
dispute,anlaşmazlık
like,beğenmek
furniture,mobilya
marine,deniz
statistics,İstatistik
Olympic,Olimpiyat
balance,denge
wipe,silip süpürmek
spokesman,sözcü
super,Süper
Islamic,İslami
track,Izlemek
translate,Çevirmek
interpret,yorumlamak
testify,tanıklık etmek
cooperation,işbirliği
friendly,arkadaş canlısı
profile,profil
pants,pantolon
whereas,halbuki
honor,Onur
elite,seçkinler
decline,reddetmek
port,Liman
complicated,karmaşık
cousin,kuzen
strategic,stratejik
terrorist,terörist
chart,çizelge
drawing,resim çizme
though,Yine de
gently,nazikçe
pack,ambalaj
odd,garip
incentive,teşvik
innocent,masum
imply,ima etmek
taste,tatmak
stadium,stadyum
scenario,senaryo
shooting,çekim
blind,görme engelli
assembly,toplantı
withdraw,Çekil
strip,şerit
market,pazar
lover,sevgili
process,işlem
mainly,daha çok
aircraft,uçak
newly,yeni
ideal,ideal
dirt,kir
flow,akış
boundary,sınır
resort,dinlenme tesisi
genetic,genetik
stick,sopa
concentration,konsantrasyon
naturally,doğal olarak
ministry,bakanlık
surprising,şaşırtıcı
adviser,danışman
recommendation,öneri
similarly,benzer şekilde
justify,savunmak
wildlife,vahşi yaşam
bench,Bank
bullet,mermi
mode,moda
square,Meydan
champion,şampiyon
dismiss,Reddet
deck,güverte
lifetime,ömür
extensive,yaygın
attractive,çekici
politically,politik olarak
regularly,düzenli olarak
raw,çiğ
fault,arıza
clinical,klinik
detect,tespit etmek
considerable,önemli
working,Çalışma
partly,kısmen
platform,platform
remote,uzak
blue,mavi
respect,saygı
top,tepe
fortune,talih
slave,köle
delivery,teslimat
worth,değer
reflection,refleks
relevant,ilgili
unknown,Bilinmeyen
pause,Duraklat
likely,büyük ihtimalle
tissue,doku
sink,lavabo
counter,tezgah
Bible,Kutsal Kitap
license,lisans
tragedy,trajedi
assistant,asistan
dialogue,diyalog
mutual,karşılıklı
loose,gevşetmek
external,harici
pride,gurur
awareness,farkındalık
electricity,elektrik
diverse,türlü
advanced,ileri
free,Bedava
faster,Daha hızlı
conservative,tutucu
online,internet üzerinden
assault,saldırı
shortly,kısa süre içinde
finance,finans
originally,aslında
founder,kurucu
lie,Yalan
characterize,karakterize etmek
protest,protesto
pole,kutup
intellectual,entelektüel
communist,komünist
infection,enfeksiyon
controversy,tartışma
double,çift
freeze,donmak
portrait,Vesika
proof,kanıt
satisfaction,memnuniyet
insight,Içgörü
headquarters,Merkez
stair,merdiven
crash,kaza
constitute,oluşturmak
thirty,otuz
alter,değiştirmek
sudden,birden
not,olumsuzluk
potentially,potansiyel olarak
dirty,kirli
evolve,evrim geçirmek
teenager,genç
violation,ihlal
joy,neşe
smell,koku
possess,elinde bulundurmak
hurricane,kasırga
offense,suç
relax,rahatlamak
appeal,çekici
mount,monte etmek
treaty,antlaşma
prior,önceki
memorial,anıt
establishment,kuruluş
hold,tutmak
tap,musluk
swim,yüzmek
properly,düzgün bir şekilde
gulf,Körfez
tongue,dil
salad,salata
practice,uygulama
favorite,favori
shelter,barınak
correspondent,muhabir
introduction,giriiş
funeral,cenaze
literary,edebi
convert,dönüştürmek
violate,ihlal etmek
rub,ovmak
entrance,giriş
episode,bölüm
tournament,turnuva
vital,hayati
stable,kararlı
split,bölmek
representation,temsil
stress,stres
fiction,kurgu
lane,Lane
distinction,ayrım
segment,segment
transfer,Aktar
comprehensive,kapsamlı
confident,kendinden emin
easy,kolay
prominent,öne çıkan
presentation,sunum
net,ağ
squeeze,sıkmak
tobacco,tütün
significance,önem
imagination,hayal gücü
pretend,numara yapmak
mere,sadece
mix,karışım
spot,leke
fade,solmak
steady,istikrarlı
neither,hiç biri
target,hedef
nowhere,Hiçbir yerde
variation,varyasyon
radical,radikal
adventure,macera
profession,uzmanlık alanı
exciting,heyecan verici
fate,kader
regardless,ne olursa olsun
load,yük
singer,şarkıcı
distribute,dağıtmak
ton,ton
instance,misal
affiliation,bağlılık
hunting,avcılık
pale,solgun
paint,boyamak
poet,şair
gradually,gitgide
partnership,ortaklık
capability,kabiliyet
Canadian,Kanadalı
tech,teknoloji
commerce,ticaret
grandfather,Büyük baba
bake,pişirmek
shelf,raf
honey,bal
round,yuvarlak
flee,kaçmak
adapt,adapte olmak
buyer,alıcı
divorce,boşanmak
defensive,savunmacı
bombing,bombalama
scared,korkmuş
gesture,jest yapmak
poetry,şiir
reserve,rezerve etmek
satisfy,tatmin etmek
pollution,kirlilik
lawn,çim
depending,bağlı
wisdom,bilgelik
since,dan beri
comfort,konfor
plot,komplo
vulnerable,hassas
explosion,patlama
tail,kuyruk
differ,farklılık
fellow,dost
sustain,güç vermek
doubt,şüphe
stability,istikrar
fantasy,fantezi
obligation,yükümlülük
God,Tanrı
damage,zarar
bike,bisiklet
dining,yemek
guide,kılavuz
custom,gelenek
ill,hasta
celebrity,ünlü
leather,deri
given,verilen
framework,çerçeve
beat,vurmak
owe,sahip olmak
slight,hafif
witness,tanık
tendency,eğilim
load,yük
crack,çatırtı
briefly,kısaca
derive,türetmek
speaker,konuşmacı
scandal,skandal
fifteen,on beş
scheme,şema
jazz,caz
in,içinde
elderly,yaşlı
celebration,kutlama
can,Yapabilmek
evolution,evrim
fighter,savaşçı
publicly,halka açık
store,mağaza
trace,iz
rid,kurtulmak
detective,dedektif
closer,daha yakın
limitation,sınırlama
besides,dışında
soup,çorba
oven,fırın
rapid,ani
chase,kovalamak
sophisticated,komplike
tribe,kabile
pipe,boru
deer,geyik
illustration,gösterim
ok,tamam
arrest,tutuklanmak
mm-hmm,mm-hmm
uniform,üniforma
transmission,bulaşma
storage,depolamak
pile,istif
survivor,hayatta kalan
resemble,benzemek
incredible,inanılmaz
impress,etkilemek
economist,iktisatçı
efficient,verimli
fifty,elli
shade,gölge
opera,opera
calculate,hesaplamak
preference,tercih
guideline,yönerge
consume,tüketmek
maintenance,bakım
formation,oluşum
glove,eldiven
scholarship,burs
educate,Eğitim vermek
proportion,oran
appointment,randevu
fund,"fon, sermaye"
conviction,mahkumiyet
myth,efsane
solar,güneş
vessel,gemi
wealthy,zengin
friendship,dostluk
membership,üyelik
craft,zanaat
qualify,nitelemek
French,Fransızca
earnings,kazanç
waste,boşa harcamak
asleep,uyuya kalmak
porch,sundurma
controversial,çekişmeli
painful,acı verici
congressman,kongre üyesi
mama,anne
monitor,izlemek
surprise,sürpriz
infant,bebek
cow,inek
proposed,önerilen
sufficient,yeterli
oak,meşe
terrorist,terörist
mall,alışveriş merkezi
punishment,ceza
helpful,yardımsever
ongoing,devam eden
admission,giriş
frequency,Sıklık
ratio,oran
delay,gecikme
privacy,mahremiyet
trick,kandırmak
etc,vb
circuit,devre
musician,müzisyen
sue,Dava açmak
purchase,satın alma
aide,yardımcı olmak
modest,mütevazı
helicopter,helikopter
empire,imparatorluk
detailed,detaylı
efficiency,yeterlik
humor,mizah
sanctions,yaptırımlar
badly,kötü
tennis,tenis
emission,emisyon
desperate,çaresiz
garlic,Sarımsak
contest,yarışma
strengthen,güçlendirmek
demonstration,gösteri
restriction,kısıtlama
Irish,İrlandalı
hunter,avcı
standing,ayakta duran
handful,avuç
explode,patlamak
prompt,çabuk
absorb,emmek
suspect,şüpheli
eager,istekli
temporary,geçici
commissioner,komiser
diamond,elmas
curious,Meraklı
differently,farklı
across,karşısında
reservation,rezervasyon
downtown,şehir merkezi
adjustment,ayarlama
composition,kompozisyon
relative,akraba
tiger,kaplan
fabric,kumaş
assert,iddia etmek
discrimination,ayrımcılık
float,batmadan yüzmek
request,rica etmek
math,matematik
overlook,görmezden gelmek
corps,kolordu
sequence,sekans
complex,karmaşık
heel,topuk
successfully,başarıyla
examination,muayene
horizon,ufuk
German,Almanca
absolute,mutlak
anticipate,beklemek
yours,seninki
dominant,baskın
bull,Boğa
prevention,önleme
meter,metre
legitimate,meşru
mask,maske
bite,ısırmak
suit,takım elbise
stroke,felç
assignment,atama
lion,aslan
sense,algı
rifle,tüfek
brilliant,muhteşem
appoint,atamak
boom,Boom
naked,çıplak
hungry,aç
tight,sıkı
flame,alev
Palestinian,Filistin
economics,ekonomi
cabin,kabin
print,Yazdır
orange,Portakal
wander,gezmek
taxpayer,vergi mükellefi
romantic,romantik
devote,adamak
inflation,şişirme
furthermore,üstelik
pine,çam
agriculture,tarım
legacy,miras
extension,eklenti
barrel,varil
arrival,varış
register,Kayıt ol
flavor,lezzet
versus,karşı
risk,risk
flesh,beden
submit,Sunmak
garage,garaj
cotton,pamuk
operator,Şebeke
nut,ceviz
rate,oran
blade,bıçak ağzı
girlfriend,kız arkadaşı
fly,uçmak
dependent,bağımlı
carbon,karbon
heritage,miras
organic,organik
ambassador,büyükelçi
invasion,istila
summit,toplantı
lifestyle,yaşam tarzı
agricultural,tarımsal
shrug,omuz silkme
counsel,danışmanlık
associate,iş arkadaşı
major,ana
distinguish,ayırt etmek
menu,Menü
awful,berbat
wound,yara
manufacturing,üretme
consumption,tüketim
permission,izin
twelve,on iki
offensive,saldırgan
shower,duş
collapse,çöküş
undergo,uğramak
function,işlev
consciousness,bilinç
correct,doğru
dry,kuru
frustration,hüsran
operating,işletme
ease,kolaylaştırmak
carrier,taşıyıcı
scope,dürbün
grain,tahıl
distinct,belirgin
ranch,çiftlik
workshop,atölye
auto,Oto
publisher,Yayımcı
narrator,dış ses
brush,fırçalamak
ban,yasaklamak
portray,tasvir etmek
fighting,savaş
borrow,ödünç almak
seize,kapmak
psychology,Psikoloji
subsequent,sonraki
exceed,aşmak
crack,çatırtı
killing,öldürme
deadline,son tarih
athletic,atletik
wise,bilge
medication,ilaç tedavisi
repeatedly,defalarca
frequent,sık
rocket,roket
fame,şöhret
lung,akciğer
depict,göstermek
persuade,ikna etmek
tent,çadır
ah,Ah
motivation,motivasyon
odds,ihtimal
worried,endişeli
principal,müdür
firm,firma
ugly,çirkin
adequate,yeterli
nonetheless,Her şeye rağmen
criminal,adli
widespread,yaygın
transformation,dönüşüm
physically,fiziksel olarak
provider,Sağlayıcı
admire,beğenmek
headline,başlık
miracle,mucize
institutional,kurumsal
homeless,evsiz
impressive,etkileyici
chef,şef
tactic,taktik
measurement,ölçüm
identification,Tanılama
province,bölge
moderate,ılıman
consensus,uzlaşma
lovely,sevimli
comedy,komedi
shore,sahil
photographer,fotoğrafçı
venture,girişim
competitor,yarışmacı
nomination,adaylık
confusion,"bilinç bulanıklığı, konfüzyon"
attribute,bağlanmak
horror,korku
orientation,oryantasyon
weekly,haftalık
legislature,yasama organı
basket,sepet
crash,kaza
continued,devam etti
blanket,battaniye
orange,Portakal
eagle,kartal
changing,değiştirme
mouse,fare
ethics,etik
high,yüksek
ghost,hayalet
everyday,Her gün
rope,halat
formula,formül
exhibit,sergilemek
nerve,sinir
cope,başa çıkmak
running,koşma
psychologist,psikolog
acid,asit
principal,müdür
pet,Evcil Hayvan
pitch,saha
occupation,Meslek
courage,cesaret
defeat,yenilgi
pregnancy,gebelik
actress,aktris
patch,yama
margin,marj
reinforce,güçlendirmek
collective,toplu
brick,tuğla
script,senaryo
cooking,yemek pişirme
tunnel,tünel
document,belge
concrete,Somut
recruit,iyileştirmek
grocery,bakkal
lemon,Limon
dare,cesaret etmek
exact,bire bir aynı
battery,pil
surprisingly,şaşırtıcı bir şekilde
artistic,sanatsal
shit,bok
indication,gösterge
cookie,kurabiye
intensity,yoğunluk
dramatically,dramatik bir şekilde
piano,piyano
concerning,ilişkin
lap,kucak
inquiry,soruşturma
Catholic,Katolik
discourse,söylem
laughter,kahkaha
anniversary,yıl dönümü
telescope,teleskop
swear,yemin etmek
park,park
charity,hayır kurumu
clue,ipucu
grave,mezar
narrative,anlatı
hypothesis,hipotez
upset,üzgün
acceptable,kabul edilebilir
favor,iyilik
couch,kanepe
defendant,sanık
compose,bestelemek
cool,serin
ballot,oy pusulası
related,ilişkili
cluster,küme
pie,turta
concern,ilgilendirmek
recording,kayıt
rail,Demiryolu
decrease,azalmak
rape,tecavüz etmek
interrupt,yarıda kesmek
architect,mimar
sigh,iç çekmek
remark,söz
Christian,Hıristiyan
invent,icat etmek
prescription,reçete
reward,ödül
sacred,kutsal
organ,organ
abroad,yurt dışı
devil,şeytan
dear,sevgili
rank,rütbe
superior,üst
military,askeri
greatly,büyük ölçüde
airplane,uçak
host,ev sahibi
habitat,doğal ortam
coal,kömür
soccer,futbol
entitle,hak kazanmak
delay,gecikme
instructor,eğitmen
integrity,bütünlük
shine,parlamak
mess,karışıklık
